Timestamp  | Machine 0 | Machine 1 | Machine 2
----------------------------------------------------
13:49:17   | 1         | 5         | 5        
13:49:18   | 5         | 12        | 11       
13:49:19   | 6         | 17        | 17       
13:49:20   | 7         | 21        | 23       
13:49:21   | 8         | 28        | 29       
13:49:22   | 9         | 33        | 35       
13:49:23   | 12        | 39        | 41       
13:49:24   | 13        | 43        | 46       
13:49:25   | 15        | 52        | 52       
13:49:26   | 19        | 58        | 58       
13:49:27   | 20        | 64        | 64       
13:49:28   | 30        | 70        | 70       
13:49:29   | 39        | 74        | 76       
13:49:30   | 47        | 78        | 82       
13:49:31   | 53        | 87        | 87       
13:49:32   | 55        | 93        | 93       
13:49:33   | 59        | 98        | 99       
13:49:34   | 60        | 105       | 105      
13:49:35   | 66        | 112       | 111      
13:49:36   | 70        | 115       | 117      
13:49:37   | 73        | 119       | 123      
13:49:38   | 75        | 128       | 128      
13:49:39   | 78        | 134       | 135      
13:49:40   | 81        | 140       | 141      
13:49:41   | 88        | 144       | 147      
13:49:42   | 89        | 151       | 153      
13:49:43   | 90        | 155       | 159      
13:49:44   | 96        | 159       | 165      
13:49:45   | 100       | 163       | 170      
13:49:46   | 101       | 167       | 176      
13:49:47   | 103       | 171       | 182      
13:49:48   | 111       | 175       | 188      
13:49:49   | 112       | 179       | 194      
13:49:50   | 115       | 183       | 200      
13:49:51   | 116       | 205       | 206      
13:49:52   | 119       | 212       | 211      
13:49:53   | 122       | 216       | 217      
13:49:54   | 123       | 223       | 223      
13:49:55   | 128       | 228       | 229      
13:49:56   | 131       | 234       | 235      
13:49:57   | 135       | 238       | 241      
13:49:58   | 143       | 242       | 247      
13:49:59   | 145       | 246       | 252      
13:50:00   | 147       | 258       | 258      
13:50:01   | 153       | 264       | 264      
13:50:02   | 156       | 270       | 270      
13:50:03   | 157       | 276       | 276      
13:50:04   | 158       | 280       | 282      
13:50:05   | 159       | 289       | 289      
13:50:06   | 167       | 294       | 295      
13:50:07   | 169       | 301       | 300      
13:50:08   | 173       | 304       | 306      
13:50:09   | 176       | 311       | 312      
13:50:10   | 200       | 316       | 318      
13:50:11   | 201       | 323       | 324      
13:50:12   | 206       | 330       | 330      
13:50:13   | 208       | 335       | 336      
13:50:14   | 212       | 340       | 342      
13:50:15   |           | 341       | 343      
