Timestamp  | Machine 0 (1 ticks/s)  | Machine 1 (1 ticks/s)  | Machine 2 (1 ticks/s) 
-------------------------------------------------------------------------------------------
14:33:06   | 1                      | 1                      | 1                     
14:33:07   | 2                      | 2                      | 2                     
14:33:08   | 3                      | 3                      | 3                     
14:33:09   | 4                      | 4                      | 4                     
14:33:10   | 5                      | 5                      | 5                     
14:33:11   | 6                      | 6                      | 6                     
14:33:12   | 7                      | 7                      | 7                     
14:33:13   | 8                      | 8                      | 8                     
14:33:14   | 9                      | 9                      | 9                     
14:33:15   | 10                     | 10                     | 10                    
14:33:16   | 11                     | 11                     | 11                    
14:33:17   | 12                     | 12                     | 12                    
14:33:18   | 13                     | 13                     | 13                    
14:33:19   | 14                     | 14                     | 14                    
14:33:20   | 15                     | 15                     | 15                    
14:33:21   | 16                     | 16                     | 16                    
14:33:22   | 17                     | 17                     | 17                    
14:33:23   | 18                     | 18                     | 18                    
14:33:24   | 19                     | 19                     | 19                    
14:33:25   | 20                     | 20                     | 20                    
14:33:26   | 21                     | 21                     | 21                    
14:33:27   | 22                     | 22                     | 22                    
14:33:28   | 23                     | 23                     | 23                    
14:33:29   | 24                     | 24                     | 24                    
14:33:30   | 25                     | 25                     | 25                    
14:33:31   | 26                     | 26                     | 26                    
14:33:32   | 27                     | 27                     | 27                    
14:33:33   | 29                     | 28                     | 28                    
14:33:34   | 30                     | 29                     | 29                    
14:33:35   | 31                     | 31                     | 31                    
14:33:36   | 32                     | 32                     | 32                    
14:33:37   | 33                     | 33                     | 33                    
14:33:38   | 34                     | 34                     | 34                    
14:33:39   | 35                     | 36                     | 36                    
14:33:40   | 36                     | 37                     | 37                    
14:33:41   | 37                     | 38                     | 38                    
14:33:42   | 38                     | 39                     | 39                    
14:33:43   | 39                     | 40                     | 40                    
14:33:44   | 40                     | 41                     | 41                    
14:33:45   | 42                     | 42                     | 42                    
14:33:46   | 43                     |                        |                       
14:33:47   |                        | 43                     | 43                    
14:33:48   | 44                     | 44                     | 44                    
14:33:49   | 45                     | 45                     | 45                    
14:33:50   | 46                     | 46                     | 46                    
14:33:51   | 47                     | 47                     | 47                    
14:33:52   | 48                     | 48                     | 48                    
14:33:53   | 49                     | 49                     | 49                    
14:33:54   | 50                     | 51                     | 50                    
14:33:55   | 51                     | 52                     | 51                    
14:33:56   | 52                     | 53                     | 52                    
14:33:57   | 53                     | 54                     | 54                    
14:33:58   | 54                     | 55                     | 55                    
14:33:59   | 55                     | 56                     | 56                    
14:34:00   | 56                     | 57                     | 57                    
14:34:01   | 58                     | 58                     | 58                    
14:34:02   | 59                     | 59                     | 59                    
14:34:03   | 61                     | 60                     | 60                    
14:34:04   | 62                     | 61                     | 61                    
