Timestamp  | Machine 0 (2 ticks/s)  | Machine 1 (1 ticks/s)  | Machine 2 (2 ticks/s) 
-------------------------------------------------------------------------------------------
01:09:32   | 1                      | 1                      | 1                     
01:09:33   | 3                      | 2                      | 3                     
01:09:34   | 5                      | 3                      | 5                     
01:09:35   | 7                      | 4                      | 7                     
01:09:36   | 9                      | 6                      | 9                     
01:09:37   | 11                     | 7                      | 11                    
01:09:38   | 13                     | 10                     | 13                    
01:09:39   | 15                     | 14                     | 15                    
01:09:40   | 17                     | 16                     | 17                    
01:09:41   | 19                     | 18                     | 19                    
01:09:42   | 21                     | 19                     | 21                    
01:09:43   | 23                     | 20                     | 23                    
01:09:44   | 25                     | 21                     | 25                    
01:09:45   | 27                     | 22                     | 27                    
01:09:46   | 29                     | 27                     | 29                    
01:09:47   | 31                     | 28                     | 31                    
01:09:48   | 33                     | 31                     | 33                    
01:09:49   | 35                     | 33                     | 35                    
01:09:50   | 37                     | 35                     | 37                    
01:09:51   | 39                     | 36                     | 39                    
01:09:52   | 41                     | 37                     | 41                    
01:09:53   | 43                     | 42                     | 43                    
01:09:54   | 45                     | 44                     | 45                    
01:09:55   | 47                     | 45                     | 47                    
01:09:56   | 49                     | 48                     | 49                    
01:09:57   | 51                     | 49                     | 51                    
01:09:58   | 53                     | 50                     | 53                    
01:09:59   | 55                     | 53                     | 55                    
01:10:00   | 56                     | 54                     | 57                    
01:10:01   | 58                     | 57                     | 59                    
01:10:02   | 60                     | 58                     | 61                    
01:10:03   | 62                     | 59                     | 63                    
01:10:04   | 64                     | 60                     | 65                    
01:10:05   | 66                     | 61                     | 67                    
01:10:06   | 68                     | 62                     | 68                    
01:10:07   | 70                     | 63                     | 70                    
01:10:08   | 72                     | 72                     | 72                    
01:10:09   | 74                     | 74                     | 74                    
01:10:10   | 76                     | 76                     | 76                    
01:10:11   | 78                     | 77                     | 78                    
01:10:12   | 80                     | 78                     | 80                    
01:10:13   | 82                     | 79                     | 82                    
01:10:14   | 84                     | 83                     | 84                    
01:10:15   | 86                     | 85                     | 86                    
01:10:16   | 88                     | 86                     | 88                    
01:10:17   | 90                     | 87                     | 90                    
01:10:18   | 92                     | 88                     | 92                    
01:10:19   | 94                     | 89                     | 94                    
01:10:20   | 96                     | 90                     | 96                    
01:10:21   | 98                     | 97                     | 98                    
01:10:22   | 100                    | 99                     | 100                   
01:10:23   | 102                    | 100                    | 102                   
01:10:24   | 104                    | 101                    | 104                   
01:10:25   | 106                    | 105                    | 106                   
01:10:26   | 108                    | 106                    | 108                   
01:10:27   | 110                    | 109                    | 110                   
01:10:28   | 112                    | 111                    | 112                   
01:10:29   | 114                    | 112                    | 114                   
01:10:30   | 116                    |                        | 116                   
