Timestamp  | Machine 0 (1 ticks/s)  | Machine 1 (2 ticks/s)  | Machine 2 (2 ticks/s) 
-------------------------------------------------------------------------------------------
00:55:26   | 1                      | 1                      | 1                     
00:55:27   | 2                      | 3                      | 3                     
00:55:28   | 3                      | 5                      | 5                     
00:55:29   | 4                      | 7                      | 7                     
00:55:30   | 8                      | 9                      | 9                     
00:55:31   | 9                      | 11                     | 11                    
00:55:32   | 10                     | 13                     | 13                    
00:55:33   | 11                     | 15                     | 15                    
00:55:34   | 13                     | 17                     | 17                    
00:55:35   | 14                     | 19                     | 19                    
00:55:36   | 15                     | 21                     | 21                    
00:55:37   | 16                     | 23                     | 23                    
00:55:38   | 22                     | 25                     | 25                    
00:55:39   | 23                     | 27                     | 27                    
00:55:40   | 27                     | 29                     | 29                    
00:55:41   | 28                     | 31                     | 31                    
00:55:42   | 29                     | 33                     | 33                    
00:55:43   | 33                     | 35                     | 35                    
00:55:44   | 34                     | 37                     | 37                    
00:55:45   | 35                     | 39                     | 39                    
00:55:46   | 36                     | 41                     | 41                    
00:55:47   | 37                     | 43                     | 43                    
00:55:48   | 43                     | 45                     | 45                    
00:55:49   | 45                     | 47                     | 47                    
00:55:50   | 46                     | 49                     | 49                    
00:55:51   | 47                     | 51                     | 51                    
00:55:52   | 48                     | 53                     | 53                    
00:55:53   | 53                     | 55                     | 55                    
00:55:54   | 54                     | 57                     | 57                    
00:55:55   | 57                     | 59                     | 59                    
00:55:56   | 58                     | 61                     | 61                    
00:55:57   | 59                     | 63                     | 63                    
00:55:58   | 64                     | 65                     | 65                    
00:55:59   | 65                     | 67                     | 67                    
00:56:00   | 66                     | 69                     | 69                    
00:56:01   | 67                     | 71                     | 71                    
00:56:02   | 71                     | 73                     | 73                    
00:56:03   | 72                     | 75                     | 75                    
00:56:04   | 76                     | 77                     | 77                    
00:56:05   | 77                     | 79                     | 79                    
00:56:06   | 78                     | 81                     | 81                    
00:56:07   | 79                     | 83                     | 83                    
00:56:08   | 80                     | 84                     | 84                    
00:56:09   | 81                     | 86                     | 86                    
00:56:10   | 82                     | 88                     | 88                    
00:56:11   | 90                     | 90                     | 90                    
00:56:12   | 91                     | 92                     | 92                    
00:56:13   | 92                     | 94                     | 94                    
00:56:14   | 93                     | 96                     | 96                    
00:56:15   | 95                     | 98                     | 98                    
00:56:16   | 97                     | 100                    | 100                   
00:56:17   | 102                    | 102                    | 102                   
00:56:18   | 103                    | 104                    | 104                   
00:56:19   | 106                    | 106                    | 106                   
00:56:20   | 107                    | 108                    | 108                   
00:56:21   | 109                    | 110                    | 110                   
00:56:22   | 110                    | 112                    | 112                   
00:56:23   | 111                    | 114                    | 114                   
00:56:24   |                        | 116                    | 116                   
