Timestamp  | Machine 0 (2 ticks/s)  | Machine 1 (1 ticks/s)  | Machine 2 (1 ticks/s) 
-------------------------------------------------------------------------------------------
00:59:25   | 2                      | 1                      | 1                     
00:59:26   | 4                      | 2                      | 3                     
00:59:27   | 6                      | 3                      | 4                     
00:59:28   | 8                      | 5                      | 5                     
00:59:29   | 10                     | 6                      | 6                     
00:59:30   | 12                     | 7                      | 7                     
00:59:31   | 14                     | 8                      | 12                    
00:59:32   | 16                     | 9                      | 13                    
00:59:33   | 18                     | 10                     | 14                    
00:59:34   | 20                     | 11                     | 15                    
00:59:35   | 22                     | 15                     | 16                    
00:59:36   | 24                     | 16                     | 17                    
00:59:37   | 26                     | 24                     | 18                    
00:59:38   | 28                     | 26                     | 25                    
00:59:39   | 30                     | 27                     | 26                    
00:59:40   | 32                     | 29                     | 30                    
00:59:41   | 34                     | 30                     | 31                    
00:59:42   | 36                     | 31                     | 32                    
00:59:43   | 38                     | 32                     | 36                    
00:59:44   | 40                     | 33                     | 37                    
00:59:45   | 42                     | 34                     | 38                    
00:59:46   | 44                     | 41                     | 41                    
00:59:47   | 46                     | 42                     | 42                    
00:59:48   | 48                     | 43                     | 43                    
00:59:49   | 50                     | 44                     | 48                    
00:59:50   | 52                     | 45                     | 49                    
00:59:51   | 54                     | 46                     | 50                    
00:59:52   | 56                     | 54                     | 53                    
00:59:53   | 58                     | 55                     | 54                    
00:59:54   | 60                     | 56                     | 55                    
00:59:55   | 62                     | 60                     | 60                    
00:59:56   | 64                     | 62                     | 61                    
00:59:57   | 66                     | 63                     | 64                    
00:59:58   | 68                     | 65                     | 65                    
00:59:59   | 70                     | 66                     | 66                    
01:00:00   | 72                     | 70                     | 70                    
01:00:01   | 74                     | 71                     | 71                    
01:00:02   | 76                     | 73                     | 73                    
01:00:03   | 78                     | 75                     | 74                    
01:00:04   | 80                     | 77                     | 77                    
01:00:05   | 82                     | 78                     | 78                    
01:00:06   | 84                     | 81                     | 81                    
01:00:07   | 86                     | 83                     | 82                    
01:00:08   | 88                     | 84                     | 83                    
01:00:09   | 90                     | 85                     | 84                    
01:00:10   | 92                     | 89                     | 90                    
01:00:11   | 93                     | 90                     | 91                    
01:00:12   | 95                     | 91                     | 92                    
01:00:13   | 97                     | 92                     | 96                    
01:00:14   | 99                     | 93                     | 97                    
01:00:15   | 101                    | 99                     | 99                    
01:00:16   | 103                    | 101                    | 100                   
01:00:17   | 105                    | 102                    | 103                   
01:00:18   | 107                    | 103                    | 104                   
01:00:19   | 109                    | 108                    | 105                   
01:00:20   | 111                    | 109                    | 106                   
01:00:21   | 113                    | 112                    | 107                   
01:00:22   | 115                    | 114                    | 108                   
01:00:23   | 116                    |                        |                       
