Timestamp  | Machine 0 (3 ticks/s)  | Machine 1 (1 ticks/s)  | Machine 2 (4 ticks/s) 
-------------------------------------------------------------------------------------------
01:16:21   | 3                      | 1                      | 3                     
01:16:22   | 6                      | 2                      | 7                     
01:16:23   | 9                      | 3                      | 11                    
01:16:24   | 12                     | 4                      | 15                    
01:16:25   | 15                     | 5                      | 19                    
01:16:26   | 18                     | 6                      | 23                    
01:16:27   | 20                     | 7                      | 27                    
01:16:28   | 23                     | 8                      | 31                    
01:16:29   | 26                     | 9                      | 35                    
01:16:30   | 29                     | 10                     | 39                    
01:16:31   | 32                     | 11                     | 43                    
01:16:32   | 35                     | 12                     | 47                    
01:16:33   | 38                     | 13                     | 51                    
01:16:34   | 41                     | 14                     | 55                    
01:16:35   | 44                     | 15                     | 59                    
01:16:36   | 47                     | 59                     | 63                    
01:16:37   | 50                     | 60                     | 66                    
01:16:38   | 53                     | 61                     | 70                    
01:16:39   | 56                     | 62                     | 74                    
01:16:40   | 59                     | 63                     | 78                    
01:16:41   | 62                     | 64                     | 82                    
01:16:42   | 65                     | 65                     | 86                    
01:16:43   | 89                     | 66                     | 90                    
01:16:44   | 92                     | 67                     | 94                    
01:16:45   | 95                     | 94                     | 98                    
01:16:46   | 98                     | 95                     | 102                   
01:16:47   | 101                    | 96                     | 106                   
01:16:48   | 104                    | 97                     | 110                   
01:16:49   | 107                    | 98                     | 114                   
01:16:50   | 110                    | 99                     | 118                   
01:16:51   | 121                    | 100                    | 122                   
01:16:52   | 124                    | 120                    | 126                   
01:16:53   | 129                    | 121                    | 130                   
01:16:54   | 132                    | 122                    | 134                   
01:16:55   | 135                    | 123                    | 138                   
01:16:56   | 138                    | 124                    | 141                   
01:16:57   | 140                    | 125                    | 145                   
01:16:58   | 143                    | 145                    | 149                   
01:16:59   | 146                    | 146                    | 153                   
01:17:00   | 149                    | 147                    | 157                   
01:17:01   | 152                    | 148                    | 161                   
01:17:02   | 155                    | 149                    | 165                   
01:17:03   | 158                    | 150                    | 169                   
01:17:04   | 161                    | 151                    | 173                   
01:17:05   | 164                    | 152                    | 177                   
01:17:06   | 167                    | 153                    | 181                   
01:17:07   | 170                    | 154                    | 185                   
01:17:08   | 187                    | 186                    | 189                   
01:17:09   | 190                    | 187                    | 193                   
01:17:10   | 193                    | 188                    | 197                   
01:17:11   | 196                    | 189                    | 201                   
01:17:12   | 199                    | 190                    | 205                   
01:17:13   | 202                    | 191                    | 209                   
01:17:14   | 205                    | 192                    | 213                   
01:17:15   | 208                    | 193                    | 216                   
01:17:16   | 211                    | 194                    | 220                   
01:17:17   | 214                    | 195                    | 224                   
01:17:18   | 217                    | 196                    | 228                   
01:17:19   | 218                    |                        | 229                   
