Timestamp  | Machine 0 | Machine 1 | Machine 2
----------------------------------------------------
13:47:55   | 1         | 1         | 1        
13:47:56   | 7         | 4         | 7        
13:47:57   | 13        | 6         | 13       
13:47:58   | 20        | 9         | 19       
13:47:59   | 26        | 22        | 24       
13:48:00   | 31        | 30        | 31       
13:48:01   | 37        | 38        | 37       
13:48:02   | 43        | 42        | 42       
13:48:03   | 49        | 48        | 47       
13:48:04   | 55        | 54        | 52       
13:48:05   | 61        | 61        | 60       
13:48:06   | 68        | 65        | 67       
13:48:07   | 73        | 68        | 72       
13:48:08   | 79        | 79        | 80       
13:48:09   | 85        | 83        | 85       
13:48:10   | 91        | 84        | 91       
13:48:11   | 97        | 91        | 98       
13:48:12   | 104       | 101       | 102      
13:48:13   | 110       | 103       | 110      
13:48:14   | 115       | 114       | 115      
13:48:15   | 121       | 116       | 122      
13:48:16   | 128       | 123       | 127      
13:48:17   | 134       | 129       | 134      
13:48:18   | 140       | 131       | 139      
13:48:19   | 147       | 134       | 146      
13:48:20   | 153       | 140       | 151      
13:48:21   | 158       | 152       | 156      
13:48:22   | 164       | 160       | 160      
13:48:23   | 170       | 166       | 170      
13:48:24   | 176       | 174       | 176      
13:48:25   | 182       | 176       | 181      
13:48:26   | 188       | 179       | 188      
13:48:27   | 195       | 181       | 193      
13:48:28   | 200       | 196       | 198      
13:48:29   | 206       | 200       | 203      
13:48:30   | 212       | 209       | 213      
13:48:31   | 218       | 216       | 218      
13:48:32   | 224       | 219       | 223      
13:48:33   | 231       | 222       | 229      
13:48:34   | 237       | 226       | 236      
13:48:35   | 242       | 235       | 242      
13:48:36   | 248       | 238       | 247      
13:48:37   | 254       | 246       | 254      
13:48:38   | 260       | 251       | 259      
13:48:39   | 266       | 254       | 266      
13:48:40   | 273       | 261       | 272      
13:48:41   | 279       | 273       | 277      
13:48:42   | 284       | 276       | 281      
13:48:43   | 290       | 290       | 286      
13:48:44   | 296       | 296       | 296      
13:48:45   | 302       | 299       | 301      
13:48:46   | 308       | 305       | 306      
13:48:47   | 314       | 312       | 314      
13:48:48   | 320       | 318       | 319      
13:48:49   | 325       | 325       | 326      
13:48:50   | 331       | 330       | 331      
13:48:51   | 337       | 335       | 338      
13:48:52   | 343       | 343       | 343      
13:48:53   | 348       | 345       | 348      
