Timestamp  | Machine 0 | Machine 1 | Machine 2
----------------------------------------------------
13:47:56   |           | 2         | 0        
13:47:57   | 0         | 3         | 0        
13:47:58   | 0         | 1         | 0        
13:47:59   | 0         | 0         |          
13:48:00   | 0         | 0         | 0        
13:48:01   | 0         | 0         | 0        
13:48:02   | 0         | 0         | 0        
13:48:03   | 0         | 0         |          
13:48:04   | 0         | 0         |          
13:48:05   |           | 0         | 0        
13:48:06   | 0         | 2         | 0        
13:48:07   |           | 1         |          
13:48:08   |           | 1         | 0        
13:48:09   |           | 1         |          
13:48:10   |           | 1         | 0        
13:48:11   | 0         | 0         | 0        
13:48:12   | 0         | 0         |          
13:48:13   | 0         |           | 0        
13:48:14   |           | 1         | 0        
13:48:15   | 0         | 0         | 0        
13:48:16   | 0         | 0         |          
13:48:17   | 0         | 2         | 0        
13:48:18   | 0         | 3         |          
13:48:19   | 0         | 2         | 0        
13:48:20   |           | 1         |          
13:48:21   |           | 0         | 0        
13:48:22   | 0         | 0         |          
13:48:23   |           | 0         | 0        
13:48:24   |           | 2         | 0        
13:48:25   |           | 2         | 0        
13:48:26   |           | 0         | 0        
13:48:27   | 0         |           | 0        
13:48:28   | 0         | 1         |          
13:48:29   |           | 0         |          
13:48:30   |           | 0         | 0        
13:48:31   |           | 1         | 0        
13:48:32   | 0         | 2         |          
13:48:33   | 0         | 2         | 0        
13:48:34   |           | 3         | 0        
13:48:35   | 0         | 3         | 0        
13:48:36   |           | 2         |          
13:48:37   |           | 3         | 0        
13:48:38   | 0         | 3         | 0        
13:48:39   |           | 2         | 0        
13:48:40   | 0         | 0         | 0        
13:48:41   | 0         | 1         |          
13:48:42   |           | 0         |          
13:48:43   | 0         | 0         |          
13:48:44   |           | 0         | 0        
13:48:45   |           | 0         | 0        
13:48:46   | 0         | 0         |          
13:48:47   | 0         | 0         | 0        
13:48:48   | 0         | 0         | 0        
13:48:49   |           | 0         | 0        
13:48:50   |           | 0         | 0        
13:48:51   | 0         | 0         | 0        
13:48:52   |           | 0         |          
13:48:53   |           |           | 0        
