Timestamp  | Machine 0 (3 ticks/s)  | Machine 1 (2 ticks/s)  | Machine 2 (3 ticks/s) 
-------------------------------------------------------------------------------------------
01:36:26   | 2                      | 1                      | 2                     
01:36:27   | 5                      | 3                      | 5                     
01:36:28   | 8                      | 6                      | 8                     
01:36:29   | 11                     | 9                      | 11                    
01:36:30   | 13                     | 12                     | 13                    
01:36:31   | 16                     | 14                     | 16                    
01:36:32   | 19                     | 17                     | 19                    
01:36:33   | 22                     | 20                     | 22                    
01:36:34   | 25                     | 22                     | 25                    
01:36:35   | 28                     | 27                     | 28                    
01:36:36   | 31                     | 29                     | 31                    
01:36:37   | 34                     | 31                     | 34                    
01:36:38   | 37                     | 35                     | 37                    
01:36:39   | 40                     | 38                     | 40                    
01:36:40   | 43                     | 41                     | 43                    
01:36:41   | 46                     | 44                     | 46                    
01:36:42   | 49                     | 47                     | 49                    
01:36:43   | 52                     | 49                     | 52                    
01:36:44   | 55                     | 51                     | 55                    
01:36:45   | 58                     | 55                     | 58                    
01:36:46   | 61                     | 59                     | 61                    
01:36:47   | 64                     | 62                     | 64                    
01:36:48   | 67                     | 64                     | 67                    
01:36:49   | 70                     | 66                     | 70                    
01:36:50   | 73                     | 72                     | 73                    
01:36:51   | 76                     | 75                     | 76                    
01:36:52   | 79                     | 77                     | 79                    
01:36:53   | 82                     | 80                     | 81                    
01:36:54   | 85                     | 82                     | 84                    
01:36:55   | 88                     | 85                     | 87                    
01:36:56   | 91                     | 89                     | 90                    
01:36:57   | 94                     | 92                     | 93                    
01:36:58   | 96                     | 96                     | 96                    
01:36:59   | 99                     | 99                     | 99                    
01:37:00   | 102                    | 101                    | 102                   
01:37:01   | 105                    | 104                    | 105                   
01:37:02   | 108                    | 107                    | 108                   
01:37:03   | 111                    | 109                    | 111                   
01:37:04   | 114                    | 111                    | 114                   
01:37:05   | 117                    | 115                    | 117                   
01:37:06   | 120                    | 117                    | 120                   
01:37:07   | 123                    | 122                    | 123                   
01:37:08   | 126                    | 124                    | 126                   
01:37:09   | 129                    | 126                    | 129                   
01:37:10   | 132                    | 132                    | 132                   
01:37:11   | 135                    | 134                    | 135                   
01:37:12   | 138                    | 137                    | 138                   
01:37:13   | 141                    | 140                    | 141                   
01:37:14   | 144                    | 142                    | 144                   
01:37:15   | 147                    | 145                    | 147                   
01:37:16   | 150                    | 148                    | 150                   
01:37:17   | 153                    | 150                    | 153                   
01:37:18   | 156                    | 153                    | 156                   
01:37:19   | 159                    | 155                    | 159                   
01:37:20   | 162                    | 157                    | 162                   
01:37:21   | 165                    | 159                    | 165                   
01:37:22   | 168                    | 166                    | 168                   
01:37:23   | 171                    | 169                    | 170                   
01:37:24   | 172                    | 172                    | 172                   
