2025-03-05 01:23:23 - Machine initialized with clock rate: 2 ticks/second
2025-03-05 01:23:25 - Internal event, Logical clock: 1
2025-03-05 01:24:04 - Received message from Machine 2, Queue length: 61, Logical clock: 127
2025-03-05 01:24:04 - Received message from Machine 1, Queue length: 63, Logical clock: 128
2025-03-05 01:24:05 - Received message from Machine 2, Queue length: 63, Logical clock: 131
2025-03-05 01:24:05 - Received message from Machine 2, Queue length: 63, Logical clock: 132
2025-03-05 01:24:06 - Received message from Machine 1, Queue length: 64, Logical clock: 133
2025-03-05 01:24:06 - Received message from Machine 1, Queue length: 66, Logical clock: 134
2025-03-05 01:24:07 - Received message from Machine 2, Queue length: 66, Logical clock: 135
2025-03-05 01:24:07 - Received message from Machine 2, Queue length: 66, Logical clock: 136
2025-03-05 01:24:08 - Received message from Machine 2, Queue length: 68, Logical clock: 139
2025-03-05 01:24:08 - Received message from Machine 1, Queue length: 68, Logical clock: 140
2025-03-05 01:24:09 - Received message from Machine 1, Queue length: 69, Logical clock: 141
2025-03-05 01:24:09 - Received message from Machine 2, Queue length: 69, Logical clock: 143
2025-03-05 01:24:10 - Received message from Machine 2, Queue length: 69, Logical clock: 147
2025-03-05 01:24:10 - Received message from Machine 2, Queue length: 69, Logical clock: 148
2025-03-05 01:24:11 - Received message from Machine 2, Queue length: 68, Logical clock: 149
2025-03-05 01:24:11 - Received message from Machine 1, Queue length: 69, Logical clock: 150
2025-03-05 01:24:12 - Received message from Machine 2, Queue length: 70, Logical clock: 151
2025-03-05 01:24:12 - Received message from Machine 1, Queue length: 71, Logical clock: 152
2025-03-05 01:24:13 - Received message from Machine 2, Queue length: 72, Logical clock: 153
2025-03-05 01:24:13 - Received message from Machine 1, Queue length: 72, Logical clock: 154
2025-03-05 01:24:14 - Received message from Machine 2, Queue length: 72, Logical clock: 155
2025-03-05 01:24:14 - Received message from Machine 2, Queue length: 73, Logical clock: 158
2025-03-05 01:24:15 - Received message from Machine 2, Queue length: 75, Logical clock: 162
2025-03-05 01:24:15 - Received message from Machine 2, Queue length: 76, Logical clock: 164
2025-03-05 01:24:16 - Received message from Machine 2, Queue length: 77, Logical clock: 167
2025-03-05 01:24:16 - Received message from Machine 2, Queue length: 79, Logical clock: 168
2025-03-05 01:24:17 - Received message from Machine 2, Queue length: 81, Logical clock: 171
2025-03-05 01:24:17 - Received message from Machine 2, Queue length: 83, Logical clock: 172
2025-03-05 01:24:18 - Received message from Machine 2, Queue length: 85, Logical clock: 176
2025-03-05 01:24:18 - Received message from Machine 2, Queue length: 85, Logical clock: 177
2025-03-05 01:24:19 - Received message from Machine 2, Queue length: 85, Logical clock: 178
2025-03-05 01:24:19 - Received message from Machine 2, Queue length: 84, Logical clock: 180
2025-03-05 01:24:20 - Received message from Machine 2, Queue length: 85, Logical clock: 182
2025-03-05 01:24:20 - Received message from Machine 2, Queue length: 86, Logical clock: 183
2025-03-05 01:24:21 - Received message from Machine 2, Queue length: 87, Logical clock: 185
2025-03-05 01:24:21 - Received message from Machine 2, Queue length: 89, Logical clock: 187
2025-03-05 01:24:22 - Received message from Machine 1, Queue length: 91, Logical clock: 188
2025-03-05 01:24:22 - Received message from Machine 2, Queue length: 91, Logical clock: 189
2025-03-05 01:24:23 - Received message from Machine 2, Queue length: 91, Logical clock: 191
