2025-02-28 14:32:09 - Machine initialized with clock rate: 13 ticks/second
2025-02-28 14:32:11 - Internal event, Logical clock: 1
2025-02-28 14:32:18 - Received message from Machine 2, Queue length: 2, Logical clock: 278
2025-02-28 14:32:18 - Received message from Machine 2, Queue length: 1, Logical clock: 285
2025-02-28 14:32:18 - Received message from Machine 2, Queue length: 2, Logical clock: 288
2025-02-28 14:32:18 - Received message from Machine 2, Queue length: 1, Logical clock: 295
2025-02-28 14:32:18 - Received message from Machine 1, Queue length: 1, Logical clock: 296
2025-02-28 14:32:18 - Received message from Machine 1, Queue length: 2, Logical clock: 304
2025-02-28 14:32:18 - Received message from Machine 2, Queue length: 2, Logical clock: 306
2025-02-28 14:32:18 - Received message from Machine 1, Queue length: 2, Logical clock: 307
2025-02-28 14:32:18 - Received message from Machine 2, Queue length: 2, Logical clock: 310
2025-02-28 14:32:18 - Received message from Machine 2, Queue length: 1, Logical clock: 314
2025-02-28 14:32:18 - Received message from Machine 2, Queue length: 0, Logical clock: 320
2025-02-28 14:32:18 - Sent message to Machine 1, Logical clock: 321
2025-02-28 14:32:19 - Internal event, Logical clock: 322
2025-02-28 14:32:19 - Received message from Machine 2, Queue length: 0, Logical clock: 336
2025-02-28 14:32:19 - Received message from Machine 1, Queue length: 1, Logical clock: 339
2025-02-28 14:32:19 - Received message from Machine 1, Queue length: 2, Logical clock: 340
2025-02-28 14:32:19 - Received message from Machine 1, Queue length: 2, Logical clock: 345
2025-02-28 14:32:19 - Received message from Machine 1, Queue length: 2, Logical clock: 346
2025-02-28 14:32:19 - Received message from Machine 2, Queue length: 2, Logical clock: 350
2025-02-28 14:32:19 - Received message from Machine 2, Queue length: 2, Logical clock: 351
2025-02-28 14:32:19 - Received message from Machine 1, Queue length: 3, Logical clock: 353
2025-02-28 14:32:19 - Received message from Machine 1, Queue length: 3, Logical clock: 356
2025-02-28 14:32:19 - Received message from Machine 2, Queue length: 3, Logical clock: 362
2025-02-28 14:32:19 - Received message from Machine 2, Queue length: 3, Logical clock: 364
2025-02-28 14:32:20 - Received message from Machine 2, Queue length: 4, Logical clock: 366
2025-02-28 14:32:20 - Received message from Machine 1, Queue length: 4, Logical clock: 368
2025-02-28 14:32:20 - Received message from Machine 1, Queue length: 3, Logical clock: 373
2025-02-28 14:32:20 - Received message from Machine 2, Queue length: 3, Logical clock: 379
2025-02-28 14:32:20 - Received message from Machine 2, Queue length: 2, Logical clock: 380
2025-02-28 14:32:20 - Received message from Machine 2, Queue length: 4, Logical clock: 383
2025-02-28 14:32:20 - Received message from Machine 1, Queue length: 4, Logical clock: 389
2025-02-28 14:32:20 - Received message from Machine 2, Queue length: 4, Logical clock: 396
2025-02-28 14:32:20 - Received message from Machine 2, Queue length: 4, Logical clock: 398
2025-02-28 14:32:20 - Received message from Machine 2, Queue length: 4, Logical clock: 399
2025-02-28 14:32:20 - Received message from Machine 2, Queue length: 5, Logical clock: 401
2025-02-28 14:32:20 - Received message from Machine 2, Queue length: 5, Logical clock: 405
2025-02-28 14:32:21 - Received message from Machine 2, Queue length: 5, Logical clock: 409
2025-02-28 14:32:21 - Received message from Machine 2, Queue length: 5, Logical clock: 412
2025-02-28 14:32:21 - Received message from Machine 2, Queue length: 5, Logical clock: 416
2025-02-28 14:32:21 - Received message from Machine 1, Queue length: 6, Logical clock: 417
2025-02-28 14:32:21 - Received message from Machine 1, Queue length: 7, Logical clock: 421
2025-02-28 14:32:21 - Received message from Machine 1, Queue length: 6, Logical clock: 422
2025-02-28 14:32:21 - Received message from Machine 2, Queue length: 7, Logical clock: 429
2025-02-28 14:32:21 - Received message from Machine 2, Queue length: 6, Logical clock: 433
2025-02-28 14:32:21 - Received message from Machine 1, Queue length: 6, Logical clock: 434
2025-02-28 14:32:21 - Received message from Machine 2, Queue length: 6, Logical clock: 437
2025-02-28 14:32:21 - Received message from Machine 1, Queue length: 7, Logical clock: 439
2025-02-28 14:32:21 - Received message from Machine 1, Queue length: 8, Logical clock: 440
2025-02-28 14:32:21 - Received message from Machine 1, Queue length: 7, Logical clock: 445
2025-02-28 14:32:22 - Received message from Machine 1, Queue length: 7, Logical clock: 446
2025-02-28 14:32:22 - Received message from Machine 1, Queue length: 7, Logical clock: 455
2025-02-28 14:32:22 - Received message from Machine 2, Queue length: 7, Logical clock: 458
2025-02-28 14:32:22 - Received message from Machine 2, Queue length: 7, Logical clock: 462
2025-02-28 14:32:22 - Received message from Machine 2, Queue length: 7, Logical clock: 463
2025-02-28 14:32:22 - Received message from Machine 2, Queue length: 7, Logical clock: 465
2025-02-28 14:32:22 - Received message from Machine 2, Queue length: 9, Logical clock: 467
2025-02-28 14:32:22 - Received message from Machine 2, Queue length: 8, Logical clock: 473
2025-02-28 14:32:22 - Received message from Machine 1, Queue length: 8, Logical clock: 479
2025-02-28 14:32:22 - Received message from Machine 2, Queue length: 8, Logical clock: 483
2025-02-28 14:32:22 - Received message from Machine 2, Queue length: 8, Logical clock: 484
2025-02-28 14:32:22 - Received message from Machine 2, Queue length: 7, Logical clock: 489
2025-02-28 14:32:23 - Received message from Machine 1, Queue length: 7, Logical clock: 491
2025-02-28 14:32:23 - Received message from Machine 1, Queue length: 6, Logical clock: 492
2025-02-28 14:32:23 - Received message from Machine 1, Queue length: 5, Logical clock: 493
2025-02-28 14:32:23 - Received message from Machine 2, Queue length: 4, Logical clock: 498
2025-02-28 14:32:23 - Received message from Machine 1, Queue length: 4, Logical clock: 504
2025-02-28 14:32:23 - Received message from Machine 2, Queue length: 4, Logical clock: 506
2025-02-28 14:32:23 - Received message from Machine 1, Queue length: 3, Logical clock: 509
2025-02-28 14:32:23 - Received message from Machine 1, Queue length: 3, Logical clock: 515
2025-02-28 14:32:23 - Received message from Machine 2, Queue length: 4, Logical clock: 535
2025-02-28 14:32:23 - Received message from Machine 2, Queue length: 4, Logical clock: 538
2025-02-28 14:32:23 - Received message from Machine 1, Queue length: 3, Logical clock: 542
2025-02-28 14:32:23 - Received message from Machine 2, Queue length: 2, Logical clock: 547
2025-02-28 14:32:23 - Received message from Machine 1, Queue length: 2, Logical clock: 548
2025-02-28 14:32:24 - Received message from Machine 2, Queue length: 3, Logical clock: 551
2025-02-28 14:32:24 - Received message from Machine 2, Queue length: 2, Logical clock: 564
2025-02-28 14:32:24 - Received message from Machine 2, Queue length: 1, Logical clock: 567
2025-02-28 14:32:24 - Received message from Machine 2, Queue length: 3, Logical clock: 568
2025-02-28 14:32:24 - Received message from Machine 1, Queue length: 4, Logical clock: 578
2025-02-28 14:32:24 - Received message from Machine 2, Queue length: 5, Logical clock: 580
2025-02-28 14:32:24 - Received message from Machine 1, Queue length: 5, Logical clock: 581
2025-02-28 14:32:24 - Received message from Machine 2, Queue length: 6, Logical clock: 582
