Timestamp  | Machine 0 (5 ticks/s)  | Machine 1 (6 ticks/s)  | Machine 2 (4 ticks/s) 
-------------------------------------------------------------------------------------------
01:25:54   | 2                      | 2                      | 1                     
01:25:55   | 6                      | 8                      | 5                     
01:25:56   | 11                     | 13                     | 11                    
01:25:57   | 18                     | 19                     | 17                    
01:25:58   | 24                     | 25                     | 23                    
01:25:59   | 30                     | 31                     | 29                    
01:26:00   | 36                     | 37                     | 35                    
01:26:01   | 42                     | 43                     | 42                    
01:26:02   | 48                     | 49                     | 47                    
01:26:03   | 53                     | 55                     | 52                    
01:26:04   | 60                     | 61                     | 57                    
01:26:05   | 65                     | 66                     | 63                    
01:26:06   | 70                     | 72                     | 68                    
01:26:07   | 76                     | 78                     | 73                    
01:26:08   | 82                     | 84                     | 78                    
01:26:09   | 89                     | 90                     | 82                    
01:26:10   | 95                     | 96                     | 88                    
01:26:11   | 100                    | 102                    | 99                    
01:26:12   | 106                    | 108                    | 105                   
01:26:13   | 112                    | 113                    | 111                   
01:26:14   | 117                    | 119                    | 116                   
01:26:15   | 125                    | 125                    | 121                   
01:26:16   | 130                    | 131                    | 130                   
01:26:17   | 135                    | 137                    | 136                   
01:26:18   | 142                    | 143                    | 140                   
01:26:19   | 147                    | 149                    | 147                   
01:26:20   | 154                    | 155                    | 154                   
01:26:21   | 159                    | 160                    | 158                   
01:26:22   | 165                    | 166                    | 165                   
01:26:23   | 170                    | 172                    | 172                   
01:26:24   | 175                    | 178                    | 176                   
01:26:25   | 184                    | 184                    | 182                   
01:26:26   | 189                    | 190                    | 188                   
01:26:27   | 194                    | 196                    | 191                   
01:26:28   | 201                    | 201                    | 195                   
01:26:29   | 206                    | 207                    | 204                   
01:26:30   | 210                    | 213                    | 212                   
01:26:31   | 218                    | 219                    | 217                   
01:26:32   | 223                    | 225                    | 221                   
01:26:33   | 229                    | 231                    | 228                   
01:26:34   | 234                    | 237                    | 233                   
01:26:35   | 242                    | 243                    | 237                   
01:26:36   | 247                    | 249                    | 247                   
01:26:37   | 254                    | 254                    | 253                   
01:26:38   | 260                    | 260                    | 259                   
01:26:39   | 265                    | 266                    | 263                   
01:26:40   | 272                    | 272                    | 269                   
01:26:41   | 276                    | 278                    | 277                   
01:26:42   | 283                    | 284                    | 283                   
01:26:43   | 288                    | 290                    | 288                   
01:26:44   | 294                    | 295                    | 293                   
01:26:45   | 300                    | 301                    | 299                   
01:26:46   | 306                    | 307                    | 304                   
01:26:47   | 311                    | 313                    | 309                   
01:26:48   | 318                    | 319                    | 314                   
01:26:49   | 324                    | 325                    | 323                   
01:26:50   | 330                    | 331                    | 329                   
01:26:51   | 335                    | 337                    | 335                   
01:26:52   | 339                    | 341                    | 338                   
