2025-02-28 14:35:23 - Machine initialized with clock rate: 2 ticks/second
2025-02-28 14:35:25 - Internal event, Logical clock: 1
2025-02-28 14:35:26 - Received message from Machine 2, Queue length: 6, Logical clock: 2
2025-02-28 14:35:26 - Received message from Machine 2, Queue length: 17, Logical clock: 3
2025-02-28 14:35:27 - Received message from Machine 2, Queue length: 26, Logical clock: 4
2025-02-28 14:35:27 - Received message from Machine 2, Queue length: 37, Logical clock: 6
2025-02-28 14:35:28 - Received message from Machine 2, Queue length: 48, Logical clock: 9
2025-02-28 14:35:28 - Received message from Machine 1, Queue length: 54, Logical clock: 29
2025-02-28 14:35:29 - Received message from Machine 2, Queue length: 60, Logical clock: 33
2025-02-28 14:35:29 - Received message from Machine 2, Queue length: 70, Logical clock: 39
2025-02-28 14:35:30 - Received message from Machine 2, Queue length: 78, Logical clock: 40
2025-02-28 14:35:30 - Received message from Machine 1, Queue length: 89, Logical clock: 41
2025-02-28 14:35:31 - Received message from Machine 1, Queue length: 98, Logical clock: 43
2025-02-28 14:35:31 - Received message from Machine 2, Queue length: 102, Logical clock: 46
2025-02-28 14:35:32 - Received message from Machine 2, Queue length: 111, Logical clock: 50
2025-02-28 14:35:32 - Received message from Machine 2, Queue length: 121, Logical clock: 55
2025-02-28 14:35:33 - Received message from Machine 1, Queue length: 129, Logical clock: 56
2025-02-28 14:35:33 - Received message from Machine 1, Queue length: 135, Logical clock: 65
2025-02-28 14:35:34 - Received message from Machine 1, Queue length: 148, Logical clock: 67
2025-02-28 14:35:34 - Received message from Machine 1, Queue length: 156, Logical clock: 68
2025-02-28 14:35:35 - Received message from Machine 2, Queue length: 166, Logical clock: 72
2025-02-28 14:35:35 - Received message from Machine 2, Queue length: 177, Logical clock: 74
2025-02-28 14:35:36 - Received message from Machine 1, Queue length: 188, Logical clock: 76
2025-02-28 14:35:36 - Received message from Machine 1, Queue length: 198, Logical clock: 78
2025-02-28 14:35:37 - Received message from Machine 2, Queue length: 207, Logical clock: 81
2025-02-28 14:35:37 - Received message from Machine 1, Queue length: 216, Logical clock: 84
2025-02-28 14:35:38 - Received message from Machine 2, Queue length: 225, Logical clock: 91
2025-02-28 14:35:38 - Received message from Machine 2, Queue length: 230, Logical clock: 95
2025-02-28 14:35:39 - Received message from Machine 1, Queue length: 240, Logical clock: 97
2025-02-28 14:35:39 - Received message from Machine 2, Queue length: 245, Logical clock: 102
2025-02-28 14:35:40 - Received message from Machine 2, Queue length: 251, Logical clock: 105
2025-02-28 14:35:40 - Received message from Machine 2, Queue length: 261, Logical clock: 109
2025-02-28 14:35:41 - Received message from Machine 2, Queue length: 270, Logical clock: 114
2025-02-28 14:35:41 - Received message from Machine 2, Queue length: 278, Logical clock: 118
2025-02-28 14:35:42 - Received message from Machine 2, Queue length: 291, Logical clock: 120
2025-02-28 14:35:42 - Received message from Machine 2, Queue length: 298, Logical clock: 124
2025-02-28 14:35:43 - Received message from Machine 2, Queue length: 307, Logical clock: 127
2025-02-28 14:35:43 - Received message from Machine 1, Queue length: 311, Logical clock: 129
2025-02-28 14:35:44 - Received message from Machine 2, Queue length: 324, Logical clock: 132
2025-02-28 14:35:44 - Received message from Machine 1, Queue length: 330, Logical clock: 136
2025-02-28 14:35:45 - Received message from Machine 2, Queue length: 337, Logical clock: 140
2025-02-28 14:35:45 - Received message from Machine 2, Queue length: 348, Logical clock: 141
2025-02-28 14:35:46 - Received message from Machine 2, Queue length: 359, Logical clock: 142
2025-02-28 14:35:46 - Received message from Machine 1, Queue length: 370, Logical clock: 144
2025-02-28 14:35:47 - Received message from Machine 1, Queue length: 380, Logical clock: 145
2025-02-28 14:35:47 - Received message from Machine 2, Queue length: 391, Logical clock: 150
2025-02-28 14:35:48 - Received message from Machine 1, Queue length: 401, Logical clock: 154
2025-02-28 14:35:48 - Received message from Machine 2, Queue length: 410, Logical clock: 158
2025-02-28 14:35:49 - Received message from Machine 2, Queue length: 418, Logical clock: 159
2025-02-28 14:35:49 - Received message from Machine 2, Queue length: 427, Logical clock: 162
2025-02-28 14:35:50 - Received message from Machine 2, Queue length: 437, Logical clock: 166
2025-02-28 14:35:50 - Received message from Machine 2, Queue length: 445, Logical clock: 167
2025-02-28 14:35:51 - Received message from Machine 2, Queue length: 451, Logical clock: 172
2025-02-28 14:35:51 - Received message from Machine 1, Queue length: 458, Logical clock: 173
2025-02-28 14:35:52 - Received message from Machine 2, Queue length: 466, Logical clock: 176
2025-02-28 14:35:52 - Received message from Machine 1, Queue length: 476, Logical clock: 189
2025-02-28 14:35:53 - Received message from Machine 1, Queue length: 488, Logical clock: 190
2025-02-28 14:35:53 - Received message from Machine 2, Queue length: 492, Logical clock: 194
2025-02-28 14:35:54 - Received message from Machine 1, Queue length: 500, Logical clock: 197
2025-02-28 14:35:54 - Received message from Machine 1, Queue length: 510, Logical clock: 199
2025-02-28 14:35:55 - Received message from Machine 1, Queue length: 519, Logical clock: 200
2025-02-28 14:35:55 - Received message from Machine 2, Queue length: 524, Logical clock: 205
2025-02-28 14:35:56 - Received message from Machine 2, Queue length: 531, Logical clock: 214
2025-02-28 14:35:56 - Received message from Machine 1, Queue length: 543, Logical clock: 215
2025-02-28 14:35:57 - Received message from Machine 2, Queue length: 556, Logical clock: 225
2025-02-28 14:35:57 - Received message from Machine 2, Queue length: 565, Logical clock: 228
2025-02-28 14:35:58 - Received message from Machine 2, Queue length: 574, Logical clock: 229
2025-02-28 14:35:58 - Received message from Machine 2, Queue length: 580, Logical clock: 233
2025-02-28 14:35:59 - Received message from Machine 2, Queue length: 591, Logical clock: 244
2025-02-28 14:35:59 - Received message from Machine 2, Queue length: 598, Logical clock: 251
2025-02-28 14:36:00 - Received message from Machine 2, Queue length: 613, Logical clock: 254
2025-02-28 14:36:00 - Received message from Machine 1, Queue length: 620, Logical clock: 258
2025-02-28 14:36:01 - Received message from Machine 1, Queue length: 632, Logical clock: 262
2025-02-28 14:36:01 - Received message from Machine 2, Queue length: 641, Logical clock: 267
2025-02-28 14:36:02 - Received message from Machine 2, Queue length: 648, Logical clock: 269
