Timestamp  | Machine 0 (1 ticks/s)  | Machine 1 (3 ticks/s)  | Machine 2 (1 ticks/s) 
-------------------------------------------------------------------------------------------
14:34:32   | 1                      | 1                      | 1                     
14:34:33   | 3                      | 4                      | 2                     
14:34:34   | 4                      | 7                      | 6                     
14:34:35   | 6                      | 10                     | 8                     
14:34:36   | 9                      | 13                     | 10                    
14:34:37   | 10                     | 16                     | 12                    
14:34:38   | 16                     | 19                     | 16                    
14:34:39   | 17                     | 22                     | 18                    
14:34:40   | 18                     | 25                     | 22                    
14:34:41   | 21                     | 28                     | 24                    
14:34:42   | 22                     | 31                     | 26                    
14:34:43   | 23                     | 34                     | 29                    
14:34:44   | 25                     | 37                     | 30                    
14:34:45   | 26                     | 40                     | 32                    
14:34:46   | 27                     | 43                     | 37                    
14:34:47   | 28                     | 46                     | 40                    
14:34:48   | 29                     | 49                     | 42                    
14:34:49   | 32                     | 52                     | 46                    
14:34:50   | 34                     | 55                     | 48                    
14:34:51   | 36                     | 58                     | 52                    
14:34:52   | 37                     | 61                     | 59                    
14:34:53   | 38                     | 64                     | 61                    
14:34:54   | 39                     | 67                     | 63                    
14:34:55   | 40                     | 70                     | 64                    
14:34:56   | 52                     | 73                     | 69                    
14:34:57   | 57                     | 76                     | 75                    
14:34:58   | 58                     | 79                     | 78                    
14:34:59   | 62                     | 81                     | 79                    
14:35:00   | 64                     | 84                     | 81                    
14:35:01   | 66                     | 87                     | 82                    
14:35:02   | 69                     | 90                     | 91                    
14:35:03   | 73                     | 93                     | 94                    
14:35:04   | 76                     | 96                     | 95                    
14:35:05   | 79                     | 99                     | 98                    
14:35:06   | 85                     | 102                    | 99                    
14:35:07   | 98                     | 105                    | 100                   
14:35:08   | 99                     | 108                    | 104                   
14:35:09   | 103                    | 111                    | 111                   
14:35:10   | 104                    | 114                    | 112                   
14:35:11   | 108                    | 117                    | 113                   
14:35:12   | 111                    | 120                    | 115                   
14:35:13   | 112                    | 123                    | 116                   
14:35:14   | 117                    | 126                    | 119                   
14:35:15   | 118                    | 129                    | 120                   
14:35:16   | 121                    | 132                    | 121                   
14:35:17   | 122                    | 135                    | 123                   
14:35:18   | 129                    | 138                    | 126                   
14:35:19   | 130                    | 141                    | 128                   
14:35:20   | 131                    | 144                    | 129                   
14:35:21   | 133                    | 147                    | 130                   
14:35:22   | 135                    | 150                    | 133                   
14:35:23   | 136                    | 153                    | 134                   
14:35:24   | 137                    | 156                    | 135                   
14:35:25   | 141                    | 159                    | 136                   
14:35:26   | 143                    | 161                    | 137                   
14:35:27   | 144                    | 164                    | 139                   
14:35:28   | 147                    | 167                    | 144                   
14:35:29   | 150                    | 170                    | 145                   
14:35:30   |                        | 172                    |                       
