2025-02-28 13:48:18 - Machine initialized with clock rate: 2 ticks/second
2025-02-28 13:48:58 - Received message from Machine 0, Queue length: 5, Logical clock: 215
2025-02-28 13:48:59 - Received message from Machine 0, Queue length: 5, Logical clock: 228
2025-02-28 13:48:59 - Received message from Machine 0, Queue length: 4, Logical clock: 229
2025-02-28 13:49:00 - Received message from Machine 0, Queue length: 5, Logical clock: 233
2025-02-28 13:49:00 - Received message from Machine 0, Queue length: 4, Logical clock: 235
2025-02-28 13:49:01 - Received message from Machine 1, Queue length: 4, Logical clock: 236
2025-02-28 13:49:01 - Received message from Machine 0, Queue length: 4, Logical clock: 240
2025-02-28 13:49:02 - Received message from Machine 0, Queue length: 4, Logical clock: 243
2025-02-28 13:49:03 - Received message from Machine 0, Queue length: 5, Logical clock: 245
2025-02-28 13:49:03 - Received message from Machine 0, Queue length: 4, Logical clock: 251
2025-02-28 13:49:04 - Received message from Machine 0, Queue length: 5, Logical clock: 254
2025-02-28 13:49:04 - Received message from Machine 1, Queue length: 5, Logical clock: 256
2025-02-28 13:49:05 - Received message from Machine 0, Queue length: 6, Logical clock: 258
2025-02-28 13:49:05 - Received message from Machine 1, Queue length: 5, Logical clock: 260
2025-02-28 13:49:06 - Received message from Machine 1, Queue length: 5, Logical clock: 266
2025-02-28 13:49:06 - Received message from Machine 0, Queue length: 4, Logical clock: 268
2025-02-28 13:49:07 - Received message from Machine 0, Queue length: 3, Logical clock: 269
2025-02-28 13:49:07 - Received message from Machine 1, Queue length: 3, Logical clock: 273
2025-02-28 13:49:08 - Received message from Machine 0, Queue length: 5, Logical clock: 274
2025-02-28 13:49:08 - Received message from Machine 0, Queue length: 4, Logical clock: 280
2025-02-28 13:49:09 - Received message from Machine 0, Queue length: 3, Logical clock: 289
2025-02-28 13:49:09 - Received message from Machine 1, Queue length: 3, Logical clock: 291
2025-02-28 13:49:10 - Received message from Machine 0, Queue length: 2, Logical clock: 292
2025-02-28 13:49:10 - Received message from Machine 1, Queue length: 2, Logical clock: 293
2025-02-28 13:49:11 - Received message from Machine 0, Queue length: 2, Logical clock: 301
2025-02-28 13:49:11 - Received message from Machine 0, Queue length: 2, Logical clock: 307
2025-02-28 13:49:12 - Received message from Machine 1, Queue length: 1, Logical clock: 308
2025-02-28 13:49:12 - Received message from Machine 0, Queue length: 1, Logical clock: 311
2025-02-28 13:49:13 - Received message from Machine 1, Queue length: 2, Logical clock: 318
2025-02-28 13:49:13 - Received message from Machine 0, Queue length: 2, Logical clock: 322
2025-02-28 13:49:14 - Received message from Machine 0, Queue length: 3, Logical clock: 323
2025-02-28 13:49:14 - Received message from Machine 0, Queue length: 3, Logical clock: 324
2025-02-28 13:49:15 - Received message from Machine 0, Queue length: 3, Logical clock: 327
2025-02-28 13:49:15 - Received message from Machine 0, Queue length: 3, Logical clock: 328
2025-02-28 13:49:16 - Received message from Machine 0, Queue length: 2, Logical clock: 331
2025-02-28 13:49:16 - Received message from Machine 1, Queue length: 2, Logical clock: 333
2025-02-28 13:49:17 - Received message from Machine 1, Queue length: 2, Logical clock: 338
2025-02-28 13:49:17 - Received message from Machine 0, Queue length: 3, Logical clock: 344
2025-02-28 13:49:18 - Received message from Machine 1, Queue length: 3, Logical clock: 347
