Timestamp  | Machine 0 (2 ticks/s)  | Machine 1 (4 ticks/s)  | Machine 2 (2 ticks/s) 
-------------------------------------------------------------------------------------------
01:41:02   |                        | 0                      |                       
01:41:03   | 1                      |                        | 0                     
01:41:04   | 0                      | 0                      | 0                     
01:41:05   | 1                      |                        | 0                     
01:41:06   | 1                      | 0                      | 0                     
01:41:07   | 0                      |                        | 0                     
01:41:08   | 0                      |                        | 0                     
01:41:09   | 0                      | 0                      | 0                     
01:41:10   | 0                      | 0                      | 0                     
01:41:11   | 0                      |                        | 0                     
01:41:12   | 1                      |                        |                       
01:41:13   | 2                      |                        | 0                     
01:41:14   | 2                      | 0                      |                       
01:41:15   | 3                      |                        | 1                     
01:41:16   | 3                      |                        | 1                     
01:41:17   | 5                      | 0                      | 0                     
01:41:18   | 5                      | 0                      | 0                     
01:41:19   | 5                      |                        | 0                     
01:41:20   | 6                      | 0                      | 0                     
01:41:21   | 6                      |                        | 1                     
01:41:22   | 6                      |                        | 1                     
01:41:23   | 6                      |                        | 2                     
01:41:24   | 6                      |                        | 2                     
01:41:25   | 6                      |                        | 0                     
01:41:26   | 8                      | 0                      | 0                     
01:41:27   | 7                      |                        | 0                     
01:41:28   | 7                      |                        | 2                     
01:41:29   | 9                      |                        | 3                     
01:41:30   | 8                      |                        | 2                     
01:41:31   | 7                      |                        | 1                     
01:41:32   | 5                      |                        | 0                     
01:41:33   | 4                      |                        | 0                     
01:41:34   | 5                      | 0                      | 0                     
01:41:35   | 4                      |                        | 1                     
01:41:36   | 5                      |                        | 2                     
01:41:37   | 6                      |                        | 2                     
01:41:38   | 6                      |                        | 2                     
01:41:39   | 7                      |                        | 2                     
01:41:40   | 7                      |                        | 4                     
01:41:41   | 6                      |                        | 5                     
01:41:42   | 7                      |                        | 5                     
01:41:43   | 8                      |                        | 6                     
01:41:44   | 6                      |                        | 6                     
01:41:45   | 5                      |                        | 5                     
01:41:46   | 4                      |                        | 6                     
01:41:47   | 2                      |                        | 7                     
01:41:48   | 0                      |                        | 7                     
01:41:49   | 0                      |                        | 8                     
01:41:50   | 0                      | 0                      | 7                     
01:41:51   | 1                      |                        | 8                     
01:41:52   | 2                      |                        | 8                     
01:41:53   | 0                      |                        | 8                     
01:41:54   | 1                      |                        | 8                     
01:41:55   | 0                      |                        | 6                     
01:41:56   | 0                      |                        | 6                     
01:41:57   | 0                      |                        | 5                     
01:41:58   | 0                      |                        | 5                     
01:41:59   | 0                      |                        | 5                     
01:42:00   | 0                      |                        | 4                     
